mmsi,shiptype,operator,year,cooperation_score,coop_score,grade,total_distance_km_under_10,percent_under_10_knots,total_distance_km_btwn_10_12,percent_10_12_knots,total_distance_km_btwn_12_15,percent_12_15_knots,total_distance_km_over_15,percent_over_15_knots,total_distance_km,total_distance_km_weird,avg_speed_knots,max_speed_knots,min_speed_knots,max_implied_speed_knots,min_implied_speed_knots,max_final_calculated_speed_knots,min_final_calculated_speed_knots,max_final_lenient_speed_knots,min_final_lenient_speed_knots
338272000,Tug,Sause Bros Inc,2018,99.70%,99.7,A+,349.4,99.70%,0.8,0.20%,0.4,0.10%,0.6,0.20%,350.5,0,5.7,7.2,2.2,18.034,1.068,18.034,1.068,7.097,1.068
366892350,Passenger/Cruise,Lindblad Expeditions LLC,2018,99.70%,99.7,A+,63.6,99.70%,0,0%,0,0%,0,0%,63.8,0,7.7,9.4,6.7,9.56,0,9.56,0,9.4,0
341500000,Passenger/Cruise,Innersea Discoveries LLC,2018,99.60%,99.6,A+,54.7,99.60%,0.3,0.50%,0.1,0.20%,0,0%,54.9,0,9.3,9.8,8.3,12.495,8.026,12.495,8.026,9.6,8.026
477071800,Bulk Carrier,Pacific Basin Shipping HK Ltd,2018,99.60%,99.6,A+,173.7,99.60%,0.5,0.30%,0,0%,0,0%,174.4,0,8.1,9.2,5.8,10.6,0,10.6,0,9.2,0
319025600,Vehicles Carrier,Mitsui OSK Lines Ltd,2018,99.50%,99.5,A+,186.1,99.50%,1.2,0.60%,0.1,0.10%,1.1,0.60%,187,0,8.4,9.4,7.4,42.908,0,42.908,0,9.4,0
367766000,Research Survey Vessel,Monterey Bay Aquarium Research,2019,99.50%,99.5,A+,62.4,99.50%,0,0%,0,0%,0.1,0.20%,62.7,0,6,8.5,0,16.485,0,16.485,0,8.5,0
538005981,Vehicles Carrier,Hyundai Glovis Co Ltd,2018,99.50%,99.5,A+,184,99.50%,0.6,0.30%,0.4,0.20%,0,0%,185,0,8.5,9.8,7,17.294,0,17.294,0,9.8,0
366887950,Tug,Sause Bros Inc,2019,99.40%,99.4,A+,911.4,99.40%,3.6,0.40%,0.3,0%,0.4,0%,916.7,0,6.1,10,0,15.89,0,15.89,0,10,0
368887000,Logistics Vessel (Naval Ro-Ro Cargo),United States Govt MSC,2019,99.20%,99.2,A+,82.4,99.20%,0.1,0.10%,0,0%,0,0%,83.1,0,6.6,7,3.9,11.74,0,11.74,0,7,0
303273000,Research Survey Vessel,Bold Horizon LLC,2018,99.20%,99.2,A+,62,99.20%,0.5,0.80%,0,0%,0,0%,62.5,0,8.5,9.7,7.5,10.242,7.586,10.242,7.586,9.7,7.5
367027570,Tug,Sause Bros Inc,2019,99.20%,99.2,A+,3456.8,99.20%,26.1,0.70%,6.2,0.20%,0,0%,3483.7,0,5.5,12.6,0,14.448,0,14.448,0,12.388,0
248225000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2018,99%,99,A+,182,99%,1.7,0.90%,0,0%,0,0%,183.8,0,8.1,9.3,7.2,11.917,5.791,11.917,5.791,9.3,5.791
338272000,Tug,Sause Bros Inc,2019,99%,99,A+,583,99%,3.9,0.70%,0.8,0.10%,0.3,0.10%,588.7,0,6.6,10.2,0,15.424,0,15.424,0,10.2,0
367535950,General Cargo Ship,US Ocean LLC,2018,99%,99,A,28.6,99%,0,0%,0,0%,0,0%,28.9,0,5.5,6,4.8,7.283,0,7.283,0,5.988,0
351248000,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2018,98.80%,98.8,A,180.5,98.80%,1.4,0.80%,0.1,0.10%,0,0%,182.7,0,8,9.8,5,13.723,0,13.723,0,9.8,0
367579000,Tug,Western Towboat Co,2018,98.70%,98.7,A,311.1,98.70%,3.8,1.20%,0.3,0.10%,0,0%,315.2,0,8.7,9.9,2.5,12.412,2.734,12.412,2.734,9.796,2.5
369077000,Platform Supply Ship,Hornbeck Offshore Services LLC,2019,98.40%,98.4,A,307,98.40%,4.2,1.30%,0.9,0.30%,0.1,0%,312.1,0,8,10,6.8,17.994,3.703,17.994,3.703,10,3.703
304716000,General Cargo Ship,WIND BV,2019,98.30%,98.3,A,342.1,98.30%,0.4,0.10%,0.1,0%,0,0%,347.9,0,2.9,8.9,0,65.995,0,12.336,0,8.9,0
367488370,Tug,TradeWinds Towing LLC,2018,98.10%,98.1,A,15.9,98.10%,0.3,1.90%,0,0%,0,0%,16.2,0,8.5,8.7,8.4,10.737,6.964,10.737,6.964,8.7,6.964
367657270,Tug,Foss Maritime Co,2019,97.90%,97.9,A,1810.4,97.90%,20.9,1.10%,9.2,0.50%,6.9,0.40%,1850,0,6.8,9.8,0,54.622,0,54.622,0,9.7,0
538005923,Research Survey Vessel,EGS Marine Corp,2019,97.90%,97.9,A,887.8,97.90%,15.5,1.70%,0.8,0.10%,0.1,0%,906.8,0,6.1,10.1,0,15.138,0,15.138,0,10,0
366994250,Platform Supply Ship,Blue Ocean Marine LLC,2019,97.90%,97.9,A,5417.1,97.90%,64,1.20%,9.6,0.20%,0.4,0%,5533.4,0,4.5,10.7,0,26.967,0,26.967,0,10.367,0
338570000,Trailing Suction Hopper Dredger,Manson Construction Co,2019,97.90%,97.9,A,214.6,97.90%,3.7,1.70%,0.8,0.40%,0,0%,219.3,0,9.3,9.9,8.6,12.336,5.665,12.336,5.665,9.9,5.665
303284000,Platform Supply Ship,Ocean Marine Services LLC,2019,97.80%,97.8,A,254.2,97.80%,5.1,2%,0.2,0.10%,0.4,0.20%,259.9,0,8.8,9.8,8,19.061,0,19.061,0,9.612,0
366982340,Tug,Foss Maritime Co,2019,97.80%,97.8,A,1333,97.80%,14.5,1.10%,1.7,0.10%,1.6,0.10%,1363.6,0,3.7,102.3,0,52.111,0,52.111,0,10.2,0
367719640,Landing Craft,Avalon Freight Services LLC,2019,97.70%,97.7,A,12526.5,97.70%,237.5,1.90%,47.1,0.40%,19.1,0.10%,12822.7,0,6.6,102.3,0,180.993,0,58.34,0,47.234,0
371237000,Bulk Carrier,NYK Bulk & Projects Carriers,2019,97.70%,97.7,A,279.7,97.70%,5.6,2%,0.2,0.10%,0,0%,286.4,0,5.6,9.8,0,13.371,0,13.371,0,9.8,0
311000188,Vehicles Carrier,NYK Line,2019,97.60%,97.6,A,346.9,97.60%,5.8,1.60%,1.2,0.30%,1.5,0.40%,355.4,0,7.8,12,1.7,156.337,0,19.718,0,12,0
432722000,Vehicles Carrier,NYK Line,2019,97.60%,97.6,A,351.7,97.60%,8.2,2.30%,0,0%,0,0%,360.2,0,6.4,11.2,0.1,52.278,0,52.278,0,11.2,0
563217000,Bulk Carrier,China Navigation Co Pte Ltd,2018,97.50%,97.5,A,167.9,97.50%,3.8,2.20%,0.1,0.10%,0,0%,172.2,0,8.8,9.7,8.2,12.295,0,12.295,0,9.7,0
367515670,Tug,Sause Bros Inc,2018,97.50%,97.5,A,345.4,97.50%,4.4,1.20%,2.5,0.70%,0.8,0.20%,354.1,0,7.9,9.7,6,40.908,0,40.908,0.674,9.6,0.674
367349430,Tug,Olympic Tug & Barge Inc,2018,97.50%,97.5,A,2471.2,97.50%,34.5,1.40%,11.4,0.40%,17.3,0.70%,2534.4,0,6.8,9.4,3.4,126.934,0,53.396,0,9.345,0
566086000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2018,97.50%,97.5,A,180,97.50%,3.6,1.90%,0,0%,1.4,0.80%,184.7,0,8.7,10,5.8,16.673,0.804,16.673,0.804,10,0.804
367007870,Tug,Sause Bros Inc,2017,97.40%,97.4,A,72.3,97.40%,0.8,1.10%,0.3,0.40%,0.1,0.10%,74.2,0,5.2,6.4,3.5,23.576,0,23.576,0,6.323,0
367133160,Tug,Sause Bros Inc,2019,97.40%,97.4,A,2975.3,97.40%,67.8,2.20%,7.5,0.20%,4,0.10%,3055.9,0,5,12.3,0,36.057,0,36.057,0,12.1,0
368034790,Tug,Boyer Towing Inc,2018,97.30%,97.3,A,36,97.30%,0.8,2.20%,0,0%,0,0%,37,0,8.6,9.6,8,489.067,7.063,11.212,7.063,9.6,7.063
367008820,Tug,Westar Marine Services,2019,97.20%,97.2,A,348.7,97.20%,2.1,0.60%,1.9,0.50%,1.5,0.40%,358.8,0,1.5,8.8,0,26.803,0,26.803,0,18.907,0
367884000,Tug,United States Govt MSC,2019,97%,97,A,114.9,97%,4.2,3.50%,0,0%,0,0%,118.5,0,7.1,10.8,4.7,10.075,0,10.075,0,10.075,0
367153070,Tug,Sause Bros Inc,2018,97%,97,A,426.4,97%,2.5,0.60%,1.7,0.40%,7.9,1.80%,439.4,0,6.1,8.9,2.9,69.087,0,39.359,0,8.1,0
367176270,Fishing Vessel,Norseman Maritime Charters,2018,96.90%,96.9,A,191.8,96.90%,2.1,1.10%,1,0.50%,3.1,1.60%,198,0,7.7,9.6,0.3,49.116,0,49.116,0,9.5,0
367027570,Tug,Sause Bros Inc,2018,96.90%,96.9,A,2801.7,96.90%,31.8,1.10%,21.4,0.70%,31.1,1.10%,2890.2,0,6.1,10.3,0.7,131.281,0,57.885,0,9.904,0
432790000,Vehicles Carrier,NYK Line,2019,96.80%,96.8,A,695.5,96.80%,12.2,1.70%,5.7,0.80%,6.1,0.80%,718.2,0,7.4,17,0.9,18.912,0,18.912,0,17,0
257931000,Platform Supply Ship,Sverre Farstad & Co AS,2019,96.80%,96.8,A,282.4,96.80%,6.6,2.30%,1.8,0.60%,0.2,0.10%,291.7,0,6.5,11.7,0,30.061,0,30.061,0,10.5,0
366755010,Tug,Crowley Maritime Corp,2019,96.70%,96.7,A,6345.2,96.70%,169.7,2.60%,3.2,0%,0.5,0%,6561.5,0,4.5,11.7,0,75.565,0,28.161,0,11.7,0
636015604,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2019,96.60%,96.6,A,1131.8,96.60%,23.4,2%,0.5,0%,0.8,0.10%,1171.7,0,3.3,9.9,0,158.827,0,24.735,0,9.9,0
367770990,Articulated Pusher Tug,Olympic Tug & Barge Inc,2018,96.50%,96.5,A,336.5,96.50%,7.6,2.20%,2.2,0.60%,1.7,0.50%,348.6,0,7,9.2,4,29.023,0,29.023,0,9.2,0
354899000,Vehicles Carrier,NYK Line,2019,96.40%,96.4,A,341.6,96.40%,12,3.40%,0.8,0.20%,0.1,0%,354.3,0,7.5,11,0.7,22.247,0,22.247,0,11,0
565947000,Vehicles Carrier,NYK Line,2018,96.20%,96.2,A,73.4,96.20%,2.3,3%,0.5,0.70%,0.8,1%,76.3,0,6.1,8.5,3.3,17.998,0,17.998,0,7.974,0
636015557,Vehicles Carrier,Mitsui OSK Lines Ltd,2018,96.20%,96.2,A,158.9,96.20%,5.2,3.10%,0.2,0.10%,0,0%,165.1,0,9.4,9.8,8.4,13.155,7.72,13.155,7.72,9.8,7.72
366938510,Tug,Sause Bros Inc,2019,96.20%,96.2,A,1824.9,96.20%,46.2,2.40%,14.3,0.80%,5.1,0.30%,1897.2,0,3.6,10.1,0,28.658,0,28.658,0,28.658,0
220580000,Anchor Handling Tug Supply,Maersk Supply Service AS,2018,95.90%,95.9,A,177.4,95.90%,7.1,3.80%,0,0%,0,0%,184.9,0,8.5,10.3,5.7,10.754,6.448,10.754,6.448,10.3,5.7
477738600,Container Ship (Fully Cellular),Orient Overseas Container Line,2018,95.90%,95.9,A,177.5,95.90%,6.7,3.60%,0.3,0.20%,0,0%,185.1,0,9.4,9.9,8.3,13.089,6.06,13.089,6.06,9.8,6.06
367395280,Platform Supply Ship,Blue Ocean Marine LLC,2019,95.90%,95.9,A,3483.3,95.90%,10.4,0.30%,1.6,0%,6.9,0.20%,3632.6,0,1.4,64.1,0,44.918,0,44.918,0,9.1,0
367153070,Tug,Sause Bros Inc,2019,95.80%,95.8,A,8391.4,95.80%,267.2,3.10%,86.4,1%,0.6,0%,8759.3,0,5.5,13.1,0,175.488,0,17.744,0,13.1,0
432669000,Vehicles Carrier,NYK Line,2018,95.70%,95.7,A,143.8,95.70%,4.4,2.90%,1.3,0.90%,0.7,0.50%,150.2,0,6.3,7.8,4.2,20.658,0,20.658,0,7.8,0
432729000,Vehicles Carrier,NYK Line,2018,95.60%,95.6,A,150.8,95.60%,6.1,3.90%,0.1,0.10%,0,0%,157.8,0,8.8,10.1,4.6,12.988,0,12.988,0,10,0
373069000,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2019,95.40%,95.4,A,1128.6,95.40%,45.6,3.90%,6.5,0.50%,0.2,0%,1183.6,0,8.2,14.1,0.5,25.175,0,25.175,0,13.6,0
431190000,Vehicles Carrier,NYK Line,2019,95.40%,95.4,A,299,95.40%,14.1,4.50%,0.7,0.20%,0,0%,313.4,0,8.6,9.9,1.5,13.38,1.423,13.38,1.423,9.8,1.423
367770980,Articulated Pusher Tug,Harley Marine Services Inc,2019,95.40%,95.4,A,2070.5,95.40%,70.8,3.30%,9.9,0.50%,7.7,0.40%,2170.6,0,5.5,102.3,0,101.206,0,46.907,0,10.8,0
352361000,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2019,95.30%,95.3,A,1105,95.30%,48,4.10%,1.5,0.10%,0.8,0.10%,1160,0,8.6,102.3,0.6,20.027,0,20.027,0,11.5,0
241080000,Crude Oil Tanker,Euronav Ship Management,2019,95.10%,95.1,A,98.6,95.10%,3.3,3.20%,0.5,0.50%,0,0%,103.7,0,3.2,10,0,14.319,0,14.319,0,9.987,0
220589000,Anchor Handling Tug Supply,Maersk Supply Service AS,2018,94.90%,94.9,A,160.5,94.90%,8.7,5.10%,0,0%,0.1,0.10%,169.1,0,8.6,10.8,7.5,23.448,5.146,23.448,5.146,10.8,5.146
257672000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2019,94.90%,94.9,A,334.5,94.90%,11.5,3.30%,4.6,1.30%,1,0.30%,352.4,0,8.3,10.7,1.8,58.442,0,58.442,0,10.6,0
368073320,Tug,Sause Bros Inc,2019,94.60%,94.6,A,2073.7,94.60%,94.9,4.30%,17.5,0.80%,1.6,0.10%,2193,0,6.3,12.5,0,37.056,0,37.056,0,12.5,0
311000368,"Bulk Carrier, Self-discharging",CSL Group Inc,2019,94.60%,94.6,A,661.1,94.60%,29,4.10%,6.9,1%,0.2,0%,699.2,0,7.4,13.6,0,15.019,0,15.019,0.006,13.498,0.006
235009420,Crude/Oil Products Tanker,Golden Energy Management SA,2018,94.50%,94.5,A,173.8,94.50%,9.3,5.10%,0,0%,0,0%,184,0,8.2,10.1,7.1,11.37,5.773,11.37,5.773,10.1,5.773
367303000,Tug,Vane Line Bunkering Inc,2018,94.30%,94.3,A,174.2,94.30%,8.6,4.70%,1.5,0.80%,0.2,0.10%,184.8,0,8.7,11.3,5.6,17.895,0,17.895,0,10.6,0
