"","operator","types","total_trav"
"1","Access Shipping Ltd",1,198.733683408149
"2","Adelfia Navigation SA",1,97.151311280991
"3","Aegean Bulk Co Inc",1,17.700262382418
"4","AET Inc Ltd",1,1630.81715596928
"5","Alaska Tanker Co LLC",1,1504.14405782141
"6","Alaska Uni Seward Marine",1,11.6337371720438
"7","Albatross Marine SA",1,151.374703696484
"8","Alchemy Ventures Ltd",1,44.8126420137396
"9","Almi Tankers SA",1,87.2644769608023
"10","Alterna Capital Partners LLC",1,287.331358908231
"11","AM Nomikos Transworld Maritime",1,320.355281134118
"12","American Cruise Lines Inc",1,39.5724441019886
"13","American Marine Corp",1,39.9008872560991
"14","American Petroleum Tankers LLC",1,555.526529150028
"15","American Roll-on Roll-off",1,147.305045411674
"16","Amnav Maritime Corp",1,64.360880878756
"17","ANL Container Line Pty Ltd",1,528.422546424571
"18","Antipaxos Shipping Corp",1,99.494213861669
"19","APL LLC",1,16857.0571044547
"20","Ardmore MR Pool LLC",1,565.436096099442
"21","Arran Point Charters Ltd",1,224.998954577775
"22","Associated Maritime Co HK Ltd",1,254.766086866031
"23","Astra Shipmanagement Inc",1,298.963735604618
"24","Atlantis Management Inc",1,154.294616584386
"25","Atlas Ocean Towing LLC",1,173.576858484329
"26","Avalon Freight Services LLC",1,576.598901080628
"27","AW Ship Management Ltd",1,0.362040088586
"28","Bastila Ship Management Pvt",1,1072.46534777465
"29","Baydelta Navigation Ltd",1,2.1062081640677
"30","BBC Chartering & Logistic GmbH",1,1030.83437381969
"31","Benetech Shipping SA",1,240.987797870714
"32","Bergshav Management AS",1,25.562456928921
"33","BG Shipping Co Ltd-HKG",1,198.967186840876
"34","Blue Fin Tankers Inc",1,174.609613530878
"35","Blue Ocean Marine LLC",1,810.448342567344
"36","Bold Horizon LLC",1,281.628988420042
"37","Boyer Towing Inc",1,109.502071500208
"38","Brusco Tug & Barge Inc",1,863.326711183854
"39","Burgess N",1,403.722901760698
"40","Byzantine Maritime Corp",1,99.1770434978389
"41","C Transport Maritime SAM",1,99.698847305486
"42","California State",1,23.839769476809
"43","Canada Govt National Defence",1,102.825627601301
"44","Canfornav Inc",1,156.603431517667
"45","Cape Tankers Inc",2,969.619919059233
"46","Capital Ship Management Corp",1,31.5469900900117
"47","Cargill International SA",1,176.380917874337
"48","Carnival Cruise Line",1,2167.37513512999
"49","Catalina Classic Cruises Inc",1,131.447892621314
"50","Catalina Express",1,4884.823228237
"51","CCCC First Harbor Engineering",1,397.725401845428
"52","Celebrity Cruises Inc",1,347.275696926666
"53","Central Mare Inc",1,306.661235166766
"54","Century Bulk Carriers Mgmt Co",1,102.77072855324
"55","Champion Tankers AS",1,306.683396675912
"56","Chandris Hellas Inc",1,152.427195764257
"57","Chembulk Ocean Transport LLC",1,274.485179934167
"58","Chemical Clipper Transports SA",1,198.912491896561
"59","Cheramie Marine LLC",1,163.6332078886
"60","Chevron Shipping Co LLC",3,4350.39143899007
"61","Chevron Transport Corp Ltd",1,1191.35924850882
"62","China Merchants Energy Shpg",1,23.0489723963024
"63","China Navigation Co Pte Ltd",2,2370.26377505972
"64","Chinese-Polish Joint Stock",1,368.585349121822
"65","Chios Navigation Hellas Ltd",1,99.749957475278
"66","Chowgule Steamships Ltd",1,493.105376466534
"67","Chugoku Sougyo Co Ltd",2,495.496548341239
"68","Cido Shipping HK Co Ltd",1,120.057192188923
"69","Ciner Ship Management",1,154.557650643414
"70","CIT Bank NA",1,21.1700945309656
"71","Clearlake Shipping Pte Ltd",2,346.072810257714
"72","Clipper Bulk Shipping Ltd",1,180.929551220104
"73","CMA CGM SA The French Line",1,8752.54053896517
"74","CMB NV",1,198.699919140999
"75","Cobelfret NV",1,198.420389017652
"76","COSCO Shipping Energy Trans",1,7.782919139677
"77","COSCO Shipping Lines Co Ltd",1,19032.0247686912
"78","COSCO Shipping Singapore Pte",1,199.059292327966
"79","COSCO Shipping Specialized",1,49.5146268246135
"80","Costa Crociere SpA",1,39.9905096429333
"81","CPTA",2,982.593713171541
"82","Crowley Alaska Tankers LLC",1,579.730825028423
"83","Crowley Marine Services Inc",1,3823.61256373939
"84","Crowley Maritime Corp",1,18.2528339496447
"85","Crowley Petroleum Services Inc",1,1852.76967424593
"86","Crystal Cruises LLC",1,199.191326663284
"87","CSAV",1,496.243500772957
"88","CSL Americas",1,3181.22516352709
"89","CSL Group Inc",1,373.701964159215
"90","Curtin Maritime Corp",1,1331.67579478381
"91","d'Amato Fratelli SpA",1,99.091685637395
"92","d'Amico Dry DAC",1,255.129992651301
"93","Daido Kaiun Co Ltd",1,183.228526641164
"94","Dakota Tankers Pool",1,78.9677249645438
"95","Dana Wharf Sportfishing",1,8.2827263410452
"96","Dava Pte Ltd",1,108.188700773761
"97","DB Marine Consulting",1,96.8215696922826
"98","DBCN Corp",1,99.7032159355859
"99","Delek Transport Agency Inc",1,153.12049812245
"100","Densay Shipping & Trading DMCC",1,293.268707721693
"101","DHT Management AS",1,121.823451628277
"102","Diamlemos Shipping Corp",1,157.953675907644
"103","Diamond Bulk Carriers Pte Ltd",1,98.9650935826762
"104","Diamond S Management LLC",2,106.524286463811
"105","Dohle Private Clients Ltd",1,10.979940821751
"106","Doun Kisen Co Ltd",1,482.368270452397
"107","Dowa Line Co Ltd",1,392.174618453453
"108","Dynacom Tankers Management Ltd",1,175.623099823113
"109","Eagle Bulk Shipping Inc",1,653.529071307822
"110","Eastern Car Liner Ltd",3,1711.55914622545
"111","Eastern Pacific Shipping Pte",1,389.000468431972
"112","Edge Yachts Ltd",1,145.28594770048
"113","Edison Chouest Offshore LLC",1,375.487354333935
"114","Eletson Corp",2,333.691567090036
"115","Empire Navigation Inc",1,99.518267866105
"116","EUKOR Car Carriers Inc",1,3274.49466383787
"117","Euronav NV",1,161.376596408446
"118","Euronav Ship Management",1,44.9426806085898
"119","Evergreen Marine Corp",1,18647.2964076458
"120","Exeno Yamamizu Corp",1,39.5523062436865
"121","Fairfield Chemical Carriers",1,99.9652630612086
"122","Fairfield-Maxwell Services Ltd",1,1377.20989725454
"123","Fairport Yacht Support",1,89.6502480214473
"124","Falcon Navigation Corp",1,80.0770952387648
"125","Far East Shipping & Trading Co",1,198.562810127809
"126","Far-East Transport Co Ltd",2,375.009019602586
"127","Fifth Engineering Co of CCCC",1,382.585110913198
"128","First Marine Service Co Ltd",1,100.03429742759
"129","FLOPEC",1,144.562395844235
"130","Formosa Plastics Marine Corp",1,198.850902079326
"131","Fortuna Seaside Bulk Carriers",1,99.5591526002095
"132","Foss Maritime Co",2,924.639122467546
"133","Franco Naviera Co SA",1,193.544500579762
"134","Fraser Yachts Florida Inc",1,157.416802224101
"135","Frontline Ltd",1,29.2745532045296
"136","Furness Withy Australia",1,126.897255909807
"137","G2 Ocean AS",2,400.275655905469
"138","Galliano Marine Service LLC",1,130.875506277976
"139","GB Shipping & Chartering GmbH",1,99.5685048174366
"140","GENCO",1,99.803353823008
"141","Genel Denizcilik Nakliyati AS",1,50.9142649690708
