"","operator","ship_type_ihs","n"
"1","Access Shipping Ltd","Bulk Carrier",1
"2","Adelfia Navigation SA","Bulk Carrier",1
"3","Aegean Bulk Co Inc","Bulk Carrier",1
"4","AET Inc Ltd","Crude Oil Tanker",3
"5","Alaska Tanker Co LLC","Crude Oil Tanker",2
"6","Alaska Uni Seward Marine","Research Survey Vessel",1
"7","Albatross Marine SA","Bulk Carrier",1
"8","Alchemy Ventures Ltd","Yacht",1
"9","Almi Tankers SA","Crude Oil Tanker",2
"10","Alterna Capital Partners LLC","Chemical/Products Tanker",2
"11","AM Nomikos Transworld Maritime","Bulk Carrier",1
"12","American Cruise Lines Inc","Passenger/Cruise",1
"13","American Marine Corp","Tug",1
"14","American Petroleum Tankers LLC","Chemical/Products Tanker",1
"15","American Roll-on Roll-off","Vehicles Carrier",2
"16","Amnav Maritime Corp","Tug",3
"17","ANL Container Line Pty Ltd","Container Ship (Fully Cellular)",1
"18","Antipaxos Shipping Corp","Products Tanker",1
"19","APL LLC","Container Ship (Fully Cellular)",26
"20","Ardmore MR Pool LLC","Chemical/Products Tanker",4
"21","Arran Point Charters Ltd","Yacht",2
"22","Associated Maritime Co HK Ltd","Crude Oil Tanker",5
"23","Astra Shipmanagement Inc","Products Tanker",1
"24","Atlantis Management Inc","Bulk Carrier",2
"25","Atlas Ocean Towing LLC","Tug",1
"26","Avalon Freight Services LLC","Landing Craft",1
"27","AW Ship Management Ltd","Yacht",1
"28","Bastila Ship Management Pvt","Products Tanker",1
"29","Baydelta Navigation Ltd","Tug",1
"30","BBC Chartering & Logistic GmbH","General Cargo Ship",9
"31","Benetech Shipping SA","Chemical/Products Tanker",1
"32","Bergshav Management AS","Crude Oil Tanker",1
"33","BG Shipping Co Ltd-HKG","Bulk Carrier",1
"34","Blue Fin Tankers Inc","Crude Oil Tanker",3
"35","Blue Ocean Marine LLC","Platform Supply Ship",2
"36","Bold Horizon LLC","Research Survey Vessel",1
"37","Boyer Towing Inc","Tug",2
"38","Brusco Tug & Barge Inc","Tug",6
"39","Burgess N","Yacht",1
"40","Byzantine Maritime Corp","Bulk Carrier",1
"41","C Transport Maritime SAM","Crude Oil Tanker",1
"42","California State","Fishing Vessel",1
"43","Canada Govt National Defence","Frigate",2
"44","Canfornav Inc","Bulk Carrier",1
"45","Cape Tankers Inc","Crude Oil Tanker",1
