"","ship_type_ihs","n"
"1","Articulated Pusher Tug",2
"2","Bulk Carrier",8
"3","Cable Layer",1
"4","Chemical/Products Tanker",3
"5","Container Ship (Fully Cellular)",19
"6","Crude Oil Tanker",17
"7","Crude/Oil Products Tanker",1
"8","Drilling Ship",1
"9","Fishing Vessel",5
"10","General Cargo Ship",2
"11","Landing Craft",1
"12","Open Hatch Cargo Ship",1
"13","Platform Supply Ship",6
"14","Pollution Control Vessel",1
"15","Replenishment Dry Cargo Vessel",1
"16","Trailing Suction Hopper Dredger",1
"17","Tug",24
"18","Vehicles Carrier",15
"19","Wood Chips Carrier",2
