"","mmsi","name","operator","com_score_reported","compliance score (calculated speed)","total distance (km)","average speed (knots)","average speed calculated (knots)","total distance (nautcal miles)","distance (nautcal miles) over 10 knots","distance (nautcal miles) 0-10 knots","distance (nautcal miles) 10-12 knots","distance (nautcal miles) 12-15 knots","distance (nautcal miles) over 15 knots","number_of_distinct_trips","gt","ship_type","ship_type_ihs","noaa compliance score (reported speed)","noaa compliance score (calculated speed)","grade","noaa_grade"
"1",367349430,"PACIFIC FALCON","Olympic Tug & Barge Inc",100,90.7858533268675,2614.5264412,6.83134432783608,7.13191673023488,1411.73185361103,0,1411.73185361103,0,0,0,26,402,32,"Tug",100,90.7858533268675,"A+","A"
"2",367657270,"MICHELE FOSS","Foss Maritime Co",100,90.0778585844671,1116.1037488,7.66572921851667,7.81939472399204,602.648031890802,0,602.648031890802,0,0,0,8,714,52,"Tug",100,90.0778585844671,"A+","A"
"3",367719640,"CATALINA PROVIDER","Avalon Freight Services LLC",100,92.297228305322,1067.8607761,8.41407035175879,8.57925474497487,576.598901080628,0,576.598901080628,0,0,0,32,603,70,"Landing Craft",100,92.297228305322,"A+","A"
"4",338272000,"NATOMA","Sause Bros Inc",100,92.4424128238604,793.4184668,6.1273773006135,6.18905703527607,428.411855077928,0,428.411855077928,0,0,0,6,583,31,"Tug",100,92.4424128238604,"A+","A"
"5",367395280,"CLEAN OCEAN","Blue Ocean Marine LLC",100,85.8411348027691,743.334733638,6.84054611025245,6.94182236620299,401.368792770974,0,401.368792770974,0,0,0,13,423,90,"Platform Supply Ship",100,85.8411348027691,"A+","A"
"6",352361000,"MSC BETTINA","MSC Mediterranean Shipping Co",100,70.294745130808,669.6206226,8.89910836762689,9.12791847736625,361.566342517228,0,361.566342517228,0,0,0,4,151559,71,"Container Ship (Fully Cellular)",100,70.294745130808,"A+","A"
"7",636015604,"MSC ALTAIR","MSC Mediterranean Shipping Co",100,74.2194368381285,626.0715966,9.4329602686066,9.52708730274203,338.051741085346,1.196655403185,338.051741085346,0,0,0,3,141635,71,"Container Ship (Fully Cellular)",100,74.2194368381285,"A+","A"
"8",371908000,"MSC SILVANA","MSC Mediterranean Shipping Co",100,75.1701570973182,549.860373,8.87227564102564,9.08247635817308,296.900957423961,0,296.900957423961,0,0,0,3,94489,71,"Container Ship (Fully Cellular)",100,75.1701570973182,"A+","A"
"9",566797000,"APL VANCOUVER","APL LLC",100,50.9509197998981,367.7877935,9.60220338983051,9.63242766949153,198.58959361488,1.481341791908,198.58959361488,0,0,0,2,109712,79,"Container Ship (Fully Cellular)",100,50.9509197998981,"A+","A"
"10",356688000,"DENEB LEADER","NYK Line",100,81.328755441723,358.8902796,9.00858544562551,9.20597980376124,193.785318701977,0.410247449546,193.785318701977,0,0,0,2,70048,70,"Vehicles Carrier",100,81.328755441723,"A+","A"
"11",367770990,"MIN ZIDELL","Olympic Tug & Barge Inc",100,86.5425703979888,346.2233887,6.89244629244629,6.87364963270963,186.945742292286,0,186.945742292286,0,0,0,4,497,90,"Articulated Pusher Tug",100,86.5425703979888,"A+","A"
"12",369077000,"HOS DOMINATOR","Hornbeck Offshore Services LLC",100,74.4139030195642,332.91979103,8.09494163424124,8.30195207522698,179.762371605186,2.354541353813,179.762371605186,0,0,0,5,1815,70,"Platform Supply Ship",100,74.4139030195642,"A+","A"
"13",367579000,"WESTERN RANGER","Western Towboat Co",100,89.4788381705746,310.9762071,8.73900184842883,8.78274082255083,167.913779857095,0,167.913779857095,0,0,0,4,328,32,"Tug",100,89.4788381705746,"A+","A"
"14",311000188,"HERMES LEADER","NYK Line",100,73.9184272649126,285.2227178,7.71780455153949,7.89749541499331,154.008003035135,0,154.008003035135,0,0,0,4,71177,70,"Vehicles Carrier",100,73.9184272649126,"A+","A"
